,ra,dec
481,162.47283,23.748529
482,162.59393,23.845802
483,162.60012,24.037973
484,162.50938,24.052899
485,162.44739,23.79653
486,162.54374,24.123674
487,162.59675,24.11991
488,162.54066,24.181637
489,162.51781,24.192716
490,162.60689,24.137973
491,162.45073,24.304118
492,162.46681,23.263642
493,162.46426,23.023625
494,162.35948,23.475151
495,162.44998,23.484224
496,162.41654,23.533234
497,162.3833,23.6327
498,162.48384,23.613841
499,162.466,23.582056
500,162.47493,23.727175
501,162.40507,23.823292
502,162.37148,23.743035
503,162.33017,23.805683
504,157.638,24.411106
505,157.44643,24.677479
506,157.44063,24.565533
507,157.61866,24.533285
508,157.64292,24.722639
509,157.48899,24.784942
510,157.58088,24.528467
511,157.51817,24.694559
512,157.48612,24.844912
513,157.39679,24.927243
514,157.53365,24.749763
515,157.4441,24.820697
516,157.59478,25.031923
517,157.6186,25.012611
518,157.47531,24.889077
519,157.49285,23.565128
520,157.59842,23.896811
521,157.42346,23.846758
522,157.43687,24.0974
523,157.48966,23.631129
524,157.56787,24.015211
525,157.46766,24.138703
526,157.41652,23.760168
527,157.41066,24.220764
528,157.49131,23.648403
529,157.53695,24.094571
530,169.13053,20.579433
531,169.20434,20.634204
532,169.28392,20.730983
533,169.3522,20.632045
534,169.43125,20.621816
535,169.12907,20.482992
536,169.33087,20.526692
537,169.16303,20.564999
538,169.13647,20.791593
539,169.23108,20.548727
540,169.35379,20.676356
541,169.32034,20.661757
542,169.21037,20.653665
543,169.40348,20.812061
544,169.38079,20.648222
545,169.54554,20.789
546,169.19113,20.435968
547,169.35911,20.807573
548,169.52152,20.709064
549,169.52353,20.837794
550,169.46334,21.118715
551,169.53344,21.116951
552,169.53392,20.811721
553,169.62183,21.233297
554,169.5239,20.994922
555,169.69056,21.050606
556,169.64016,21.2168
557,169.75021,21.111026
558,169.60138,21.382716
559,169.68037,21.456395
560,169.6765,21.179785
561,169.77227,21.260504
562,169.71811,21.241837
563,169.69099,21.474105
564,168.91944,20.260245
565,168.68623,20.377707
566,168.68615,20.58627
567,168.84781,20.772283
568,168.69494,20.561644
569,168.95383,20.28642
570,168.83414,20.472304
571,168.82443,20.398301
572,169.0007,20.781433
573,168.70733,20.535099
574,168.97575,20.744024
575,168.96581,20.608203
576,169.01057,20.36419
577,168.92176,20.444113
578,169.04651,20.485598
579,168.69399,20.643346
580,168.76596,20.81412
581,169.13805,20.839219
582,169.05966,20.96393
583,169.43952,20.844817
584,169.14674,20.825494
585,189.42561,53.762401
586,189.3788,53.744676
587,189.63018,54.114408
588,189.71404,53.970196
589,189.59746,53.837615
590,189.52352,53.802056
591,189.47855,53.940089
592,189.5434,53.957857
593,189.49209,53.864323
594,189.61605,53.898564
595,189.77231,53.950802
596,189.61464,54.092032
597,189.45722,53.964874
598,189.37789,54.001291
599,189.77771,54.165114
600,189.61603,54.306164
601,189.52746,54.396378
602,189.73363,54.437235
603,189.67841,54.376903
604,189.69488,54.459323
605,189.54222,54.323484
606,189.62142,54.282367
607,189.81558,54.395344
608,189.5944,54.714113
609,189.77319,54.692109
610,189.61028,54.496354
611,189.6643,54.508926
612,189.84456,54.864852
613,189.80464,54.70029
614,189.83449,54.621931
615,189.78786,54.758843
616,189.12999,53.685428
617,189.24736,53.809964
618,189.29708,53.757683
619,189.11609,53.749586
620,189.30309,54.064171
621,189.19021,53.983785
622,189.16713,53.852272
623,189.07781,53.730851
624,189.18875,54.019304
625,189.30475,53.839305
626,189.36914,54.033039
627,189.04469,54.028506
628,189.42542,54.454267
629,189.34429,54.430601
630,189.36234,54.184506
631,139.2422,61.915359
632,139.39392,61.65628
633,139.73659,61.875603
634,136.61035,62.818221
635,136.9156,62.708182
636,213.05842,29.119232
637,213.02787,29.054278
638,213.10847,29.353721
639,213.01124,29.365225
640,213.1142,29.330781
641,213.07217,29.181231
642,213.01102,29.237829
643,213.07307,29.291087
644,213.03003,29.345333
645,212.932,29.246026
