ra,dec
0.22436398,13.837318
0.2281323,15.218737
0.23205739,14.018451
0.23554862,0.76277963
0.2398578,15.278276
0.24099716,14.190415
0.24431036,14.544625
0.25683807,14.854664
0.26134313,-0.25705487
0.26267557,1.268034
0.26498768,14.580186
0.26809365,-9.6792082
0.27040177,-9.154339
0.2765724,-10.400237
0.27704804,1.0660222
0.2862029,13.857136
0.28764352,14.591751
0.28932998,0.0846024
0.29053032,-10.543008
0.29645887,-10.032093
0.30000097,15.478422
0.30600322,-0.99294205
0.30998233,15.117151
0.31320771,14.002388
0.3150778,14.666661
0.31871008,16.182609
0.32518951,-10.426133
0.34673911,0.98461
0.34696064,-11.198876
0.34889532,-0.85193696
0.35135374,0.73037158
0.35816395,13.807595
0.35881212,14.001425
0.36386599,14.190808
0.36885861,-0.2243068
0.3722663,14.726473
0.37487511,1.0479164
0.37610018,-0.2461477
0.37709068,0.65830479
0.38093762,14.407469
0.38177207,1.0974038
0.38437862,14.185531
0.39150248,15.081573
0.39425213,0.27443931
0.39834104,14.65938
0.39900896,-0.39510509
0.41755378,1.0919658
0.41947286,-1.0569426
0.42159618,-0.04921619
0.42194798,1.017347
0.43133581,13.869804
0.43506459,15.204218
0.43570629,14.897661
0.4392619,15.967848
0.44344466,0.75045411
0.44616877,14.347762
0.45457342,-10.2207
0.45635594,14.439705
0.45656226,0.56701844
0.45973594,1.0320604
0.46195493,15.255034
0.46213732,-0.65375717
0.46371398,-9.4084207
0.47375141,16.137565
0.47816704,-8.9343253
0.47950132,14.85245
0.48024464,0.04779283
0.48095004,0.54634492
0.48682373,1.1568565
0.50343563,15.025609
0.50361497,-9.7633474
0.50390942,-0.34309939
0.5064616,-1.1101338
0.51313485,0.60798569
0.51508767,0.63190347
0.51543478,13.747571
0.51631201,15.05512
0.52349274,-11.210588
0.52642489,-10.218536
0.52648599,-9.2022266
0.53460317,15.449623
0.53800669,0.55327069
0.5391144,-10.4193
0.54247001,14.136204
0.55238272,4.7419246E-3
0.55243094,-0.68042351
0.5581566,-0.02091262
0.56155813,14.487747
0.56635828,14.671799
0.56843508,0.43469807
0.57046128,0.90934259
0.5725367,-10.678051
0.57312013,-0.34348907
0.57820564,0.13643142
0.58325935,-0.83010942
0.58508536,-0.81179674
0.58848484,0.93725672
0.59181248,15.419748
0.59312412,0.66108413
0.59657517,15.116416
0.6027484,0.53515271
0.60727083,-9.3666216
0.61366422,16.078485
0.61694822,0.13954025
0.62295491,-0.75948243
0.62585417,-10.901841
0.64010473,14.082646
0.64348294,13.966923
0.6437847,0.84394227
0.64468978,-0.68237249
0.65086448,0.42118337
0.65151949,0.49569528
0.65984484,14.646899
0.66129282,0.38607924
0.66521147,0.9426619
0.66625079,1.0112706
0.67028904,13.959459
0.67174068,0.08322522
0.67370689,14.028227
0.6774964,1.0502056
0.67949261,-0.40947525
0.67952932,0.57196261
0.68033784,-10.720919
0.68909346,-10.57486
0.69781212,-9.8160678
0.69940476,-9.0451031
0.70368806,0.47612542
0.70444547,0.75133508
0.70467522,-11.126394
0.71348527,16.073039
0.71408624,-10.638092
0.71490305,15.654824
0.71551605,0.42936076
0.71650132,16.053929
0.71709127,0.65958436
0.71813213,1.1170805
0.71954579,8.3243238E-3
0.72169649,0.94715306
0.72964923,14.35999
0.73596116,0.77263581
0.73607126,0.58739458
0.73665587,-10.059213
0.73833931,-10.725128
0.74105468,14.163955
0.74117118,-9.9547841
0.74206716,14.306547
0.74410484,0.14195379
0.74641045,-10.578911
0.74757669,0.304336
0.75492287,0.06071311
0.75610769,-0.31721026
0.75692191,15.675009
0.76085142,16.125326
0.76994146,13.863366
0.77743652,15.923602
0.78388977,15.977061
0.7846892,-9.6963886
0.78771778,-0.75232175
0.79595304,13.777664
0.79676233,-10.239139
0.7969382,15.96576
0.80021744,13.90985
0.8012515,-10.834823
0.80354989,-9.0318635
0.80779575,-10.451249
0.81206575,-0.038262
0.81231191,1.1006392
0.81260332,16.145663
0.81355835,16.048287
0.81422089,-9.3101535
0.81465129,0.2792704
0.8238353,15.524254
0.82737534,-10.756391
0.83575394,-0.52671122
0.836873,14.673346
0.84013202,-9.9832601
0.84259365,-10.770621
0.84367102,1.0578532
0.84670246,-0.99422981
0.84890264,1.0998688
0.86107212,0.93156603
0.86188798,1.0806829
0.86453983,1.0977413
0.86469382,-10.676436
0.86814363,0.89578667
0.86968646,0.6770229
0.87242708,14.008508
0.87428052,-11.076881
0.87838693,-0.56568589
0.87874454,1.0589275
0.88387265,-10.744671
0.88408761,13.961784
0.88442926,0.88283456
0.88727344,1.0805188
0.89132193,0.61425381
0.89403062,14.028084
0.89404938,15.163961
0.89590036,1.0458209
0.89906895,0.90919157
0.90267605,15.17913
0.9028165,14.242811
0.90816648,-0.26702935
0.90964897,13.973073
0.91049411,0.88690814
0.91702685,-0.28034409
0.91840183,14.267245
0.92083011,1.1513116
0.92087445,15.140096
0.92887409,14.412176
0.92967083,15.217971
0.9346799,16.186851
0.93570465,0.57469438
0.93747358,13.957139
0.93946664,1.0446905
0.94166581,0.8548742
0.94348024,0.19817568
0.94381248,-11.02861
0.94593326,-0.06399027
0.95013539,14.33897
0.95114532,-0.75717777
0.95138436,0.3595702
0.95324849,0.94611603
0.95452981,15.319695
0.95671201,0.9914799
0.96286288,-10.81079
0.96620656,-8.9131511
0.96822059,-9.9435685
0.96858602,-10.394989
0.9698133,16.059471
0.97399514,14.567257
0.97595886,-10.699509
0.97789629,14.197419
0.98252274,0.3775447
0.98311967,0.88413545
0.98564589,-10.351354
0.98846687,14.414872
0.98854756,-9.7822522
0.98861808,0.47557686
0.99009915,-0.8275131
0.99134459,-10.345637
0.99216309,-0.04562729
0.99503096,13.724633
0.99743897,-10.319673
0.99922519,0.53069265
0.99948225,1.0727553
1.0003742,0.5062714
1.0026133,14.703752
1.0026709,-11.178016
1.0032915,16.019569
1.005354,-10.704946
1.0067322,-10.830209
1.0105372,-10.862221
1.0109006,0.47634298
1.0122616,13.751506
1.01245,-10.043983
1.0136498,0.64565587
1.0179896,-10.364984
1.0234564,-10.113257
1.0250214,-0.22590535
1.0267397,0.55100025
1.0294091,14.460358
1.0322377,0.73650657
1.033522,-9.5606032
1.0422183,0.67019075
1.0432294,0.47795632
1.0435915,-10.021702
1.0548218,13.851574
1.0567107,0.77960268
1.0577343,1.0011784
1.059874,0.47586641
1.0650342,-11.087234
1.0667303,-9.957709
1.0755354,-10.462936
1.0759529,-1.1614665
1.0850263,1.1278332
1.0909828,1.0891933
1.0941777,0.72806916
1.0950281,-9.6654426
1.0989139,14.357817
1.1025533,-9.8474302
1.1079807,-10.235389
1.1102092,16.062791
1.1105965,14.931912
1.1152753,13.832618
1.1278301,14.036833
1.1329895,-1.2365906
1.1351281,0.9087974
1.1414557,-9.0520255
1.1428093,-9.0525884
1.1448058,15.213918
1.1467433,0.84860456
1.149313,15.371396
1.1532334,-10.446813
1.1533183,-10.376065
1.1542159,-10.536076
1.1555503,-9.0232494
1.1567834,-10.115283
1.1587415,1.1221249
1.1602252,15.816756
1.1664465,-9.6660061
1.1685093,0.58408015
1.1698079,14.235479
1.1745675,-9.1908786
1.1764957,-0.64413497
1.184543,15.336767
1.1861973,15.784158
1.1866239,-10.123518
1.2008947,-10.842413
1.2039582,0.95118177
1.2041172,0.55936814
1.2049918,0.46699365
1.2106725,-9.5366691
1.2181937,0.35171768
1.2224041,14.932942
1.2228965,-10.80198
1.2251205,-8.8946437
1.2263412,0.17973686
1.2292452,0.29686976
1.2306,-9.8641076
1.2306581,0.07682569
1.2311486,-10.80325
1.2323477,1.1699144
1.2425561,0.9800471
1.2441789,0.96212825
1.2447065,15.671741
1.2501586,0.34865019
1.2502071,0.42367104
1.2571154,0.85075465
1.2579072,14.015639
1.2604271,0.30550554
1.2682739,0.38290824
1.2686897,-9.0677517
1.272725,0.4626678
1.279104,15.252686
1.2830018,-0.52379435
1.2833667,0.95962916
1.2914022,0.63599927
1.2927277,-1.005689
1.293082,0.4681005
1.2942936,-10.491062
1.2953634,-10.851038
1.2960827,-10.496412
1.2965151,-8.9783506
1.2987718,15.646165
1.3078512,-11.099582
1.309447,-9.8967897
1.3141842,-0.64303792
1.3175062,0.32506128
1.3179978,-0.78449226
1.3187713,14.608564
1.322073,15.148733
1.3225771,-0.61435146
1.323133,0.97664244
1.3250077,15.567559
1.3265746,15.656683
1.3275027,0.46548139
1.3278235,0.29574869
1.3328143,-10.431893
1.3343286,-10.438637
1.3356607,0.94554817
1.3359326,14.569751
1.3364908,-10.469524
1.3417332,-9.541846
1.3444178,14.868559
1.3447893,-9.0356388
1.3505179,16.049962
1.3627123,13.813791
1.3641813,0.84670893
1.365978,15.413943
1.3662211,-10.029688
1.3690608,-0.48016665
1.3768368,-9.9503177
1.3810534,-10.48282
1.381862,-8.9409834
1.3822272,-9.5836718
1.3855182,-11.152241
1.3921285,0.86173136
1.3944179,-10.635419
1.399515,-0.92235895
1.4071308,0.36010171
1.407264,0.54947617
1.4109772,15.650861
1.4161219,15.849257
1.4208715,-9.3372679
1.4265583,15.491563
1.4269426,0.60697902
1.4272232,-11.180256
1.4282098,15.684419
1.4288773,14.671939
1.4378119,16.148127
1.4408676,-0.54276494
1.443382,-9.6652167
1.4539081,14.561133
1.4672395,-9.3638764
1.471357,-9.3970389
1.471473,-10.766088
1.4738911,-10.666672
1.4742681,0.45365054
1.4823483,0.54925213
1.4829534,-10.037055
1.4839994,16.134491
1.4883209,0.30924276
1.4916304,-9.3549309
1.4930757,-0.24791058
1.4948968,-9.3440272
1.4950509,-10.684733
1.4952433,-9.1927964
1.5033659,15.827292
1.5035849,0.94764793
1.5077426,-9.9175223
1.5095981,15.991755
1.5099758,14.417464
1.5162832,-0.72699287
1.5233024,-9.3352866
1.523866,13.978848
1.5252531,0.82915414
1.5293712,-8.9394722
1.5366679,-10.47558
1.5371603,-10.828951
1.5374155,-8.9129494
1.5419523,14.017619
1.5433636,0.68231906
1.5451412,-11.11993
1.5469559,-9.6316639
1.5487098,13.800501
1.5494684,15.816906
1.5519561,15.780501
1.5552428,-1.2426297
1.5598534,-1.1464475
1.5605238,-10.10074
1.5648609,-8.9322983
1.5678691,-8.9094185
1.5682742,15.86248
1.5696637,-8.9923423
1.5723164,0.46140834
1.572562,15.146287
1.5727823,13.717656
1.5729964,-0.68217831
1.573181,1.0243209
1.581714,14.32743
1.5828545,-9.4624592
1.5843146,15.827977
1.586798,13.87378
1.5884357,-10.337128
1.5907434,0.43585759
1.606567,15.428742
1.6079896,-10.684679
1.6092505,-1.1863551
1.6100955,0.3906629
1.6118116,-9.8370697
1.612595,-9.450121
1.6130571,-9.0171631
1.6181238,0.50522927
1.6188545,-9.7972778
1.6190415,0.48484065
1.6201186,16.075164
1.6202482,-0.7841385
1.620709,-0.61589292
1.6220773,14.182368
1.6225727,-1.2038501
1.6256292,13.865043
1.6273279,0.39004777
1.6295484,-0.69278014
1.6357296,15.667993
1.6416518,-0.05611033
1.6439695,15.809032
1.6454859,-9.9646591
1.6468471,-0.47350517
1.6473216,-0.11667732
1.6488632,-0.57106564
1.6508869,0.87532926
1.652444,-0.03316694
1.652568,16.043819
1.6537523,-9.8726955
1.6550606,-0.52250443
1.6563928,-11.170554
1.6568282,-0.5445204
1.6576797,-0.85360621
1.6583613,-10.5184
1.6635658,0.56947467
1.6675585,-0.27328746
1.6698414,-0.47259488
1.6712726,-10.973872
1.6714267,-0.61671264
1.6791508,-10.592757
1.6819673,14.838875
1.6852369,0.57250984
1.6856928,-11.221373
1.6863541,-9.8648905
1.6881074,-0.33825328
1.6943969,16.000491
1.6971997,-0.60378791
1.7165401,-10.788291
1.7230312,-0.84804118
1.7237979,-0.8196444
1.723816,-9.3051931
1.7361184,15.294854
1.7376115,0.85721057
1.7379615,0.69132303
1.7395648,-1.1576932
1.7406791,15.430582
1.7436949,-10.737847
1.7463972,15.315108
1.7484312,14.837373
1.7517752,0.42079753
1.7523416,0.90292875
1.7566396,14.106587
1.7611047,16.039351
1.7624755,-0.73625079
1.7654254,14.010688
1.777535,-8.8475473
1.7815929,0.61822776
1.7853717,-11.064427
1.7882097,-9.9861124
1.79065,1.2080876
1.7909606,1.0666743
1.7948186,-0.41476018
1.7965973,14.923733
1.797513,-10.002808
1.7982901,13.768574
1.8024374,16.114503
1.8057866,0.48200702
1.8067753,14.046924
1.8109818,-0.64194551
1.8151139,-0.02131467
1.815206,0.3736859
1.8162456,-8.8549599
1.8164285,-11.070756
1.8170843,14.427383
1.8172867,0.59781538
1.8201739,-10.319023
1.8240844,0.61174795
1.8257239,0.57296629
1.831397,15.952154
1.8323561,-8.8603369
1.832496,0.51220392
1.8365686,0.49321561
1.8436841,-1.1717634
1.8438695,-0.33604097
1.8484275,-0.64150394
1.8503104,15.933886
1.8509056,-0.51118789
1.8519799,-11.135796
1.8545885,-0.86285916
1.8557953,0.54325854
1.8561432,0.72862353
1.8569748,-0.7520927
1.8570924,0.59239036
1.8592794,16.113887
1.8608456,14.064798
1.861329,-0.70599758
1.8661965,0.7852288
1.8762455,1.1676514
1.8844432,-0.66927305
1.8853757,14.266008
1.8856543,-1.0690928
1.8881185,-9.3558255
1.8907268,-0.25924303
1.8968684,14.920422
1.8978229,-10.379013
1.8988312,14.451932
1.9011869,-0.2320277
1.9025,-10.859626
1.9041484,13.968097
1.9049244,-9.1081363
1.9123855,0.81561741
1.9146689,15.976675
1.9148805,-9.0794134
1.9160333,-0.85740441
1.9182543,-8.8348571
1.9193194,15.672581
1.9202772,-0.78773031
1.9217809,-0.69592543
1.9251921,-9.4126305
1.9277301,15.186888
1.9282424,-10.814607
1.9337871,15.170391
1.9409319,-0.26404282
1.9431336,-0.22413094
1.9457473,15.681171
1.9556556,14.735063
1.9624177,13.789293
1.9638791,-0.4525936
1.9686873,14.431343
1.978429,-10.73538
1.9790854,-0.80133481
1.9796584,-0.2280929
1.9817219,14.724009
1.9838307,-0.55013563
1.9846304,-1.0017818
1.9874114,-8.7543168
1.9911478,15.961843
2.0040919,14.021854
2.0113254,-10.612689
2.0170687,-9.6117851
2.0192933,-0.75124252
2.022758,14.888187
2.0229274,15.056302
2.0234369,14.839836
2.0250502,15.343015
2.0271493,13.758019
2.0289638,-9.712728
2.0301702,-0.77978011
2.0334499,0.66401346
2.0339707,15.610607
2.0501132,15.528768
2.0505051,-10.996156
2.0545991,0.79179296
2.0553861,-0.65389028
2.0588768,-0.16404311
2.0610968,15.131362
2.070003,-10.127161
2.0708509,-0.49206609
2.0767039,-10.885982
2.0777049,-0.17544351
2.0821608,-7.7328777E-4
2.0865377,15.156012
2.0987357,1.0563086
2.1078146,-0.60867963
2.1105131,0.36916286
2.1116992,0.3188389
2.1166457,15.368744
2.1175873,0.06586853
2.1231601,-8.8976964
2.1233925,-0.3357639
2.1253347,-11.012765
2.1354641,-10.282459
2.1361958,13.903791
2.1367963,1.0388706
2.1376526,-1.2386707
2.140561,0.02442578
2.1428805,-10.94929
2.1511201,-0.59608227
2.1515398,-0.05133569
2.1561702,0.93404269
2.1633529,-0.71910472
2.1656899,-9.465413
2.1663053,1.1500796
2.1676484,0.66693533
2.1683681,14.009268
2.1688945,-10.452775
2.1731744,14.274625
2.1770479,15.351345
2.1834318,-10.573865
2.1916648,15.861764
2.1925273,15.817036
2.1981796,-8.9848763
2.1994169,-0.62510483
2.2033561,14.033707
2.2091646,-9.2312212
2.2132296,-0.32883008
2.2133533,-9.0652101
2.2157982,-9.8232917
2.2227942,14.718216
2.2266286,0.47668637
2.2353632,15.704165
2.236315,14.297399
2.236411,14.290342
2.2480382,-10.298351
2.2531036,-1.0130412
2.2546951,13.94737
2.2547138,-9.0347114
2.2585023,15.909583
2.259229,15.126569
2.2610561,14.0155
2.261271,-0.79411712
2.2628695,15.645214
2.2648637,-0.58252094
2.2677845,-0.60708667
2.2690622,-0.28579799
2.2697319,-10.323881
2.2699604,-5.6038569E-3
2.2721533,15.180714
2.2751806,-10.642431
2.2752862,-0.63496493
2.2766075,-10.062303
2.2771115,0.04243158
2.2823182,15.917854
2.2829277,14.465533
2.284259,-0.35365065
2.2858983,-9.40422
2.2859286,14.949801
2.2878296,14.958306
2.2924063,-1.1138679
2.2936449,0.09751587
2.2946981,14.923017
2.2971425,14.921762
2.2982507,-0.61520127
2.2985549,0.65622948
2.2994622,-0.19245458
2.3013064,-0.79570151
2.3035396,-0.1744381
2.3065588,0.3175398
2.3108965,16.194089
2.3154286,0.81258425
2.3255411,-0.32559979
2.3272404,14.391898
2.3281781,0.32901761
2.3291293,14.993554
2.3301029,16.059037
2.3314575,0.59922752
2.3316439,-11.107395
2.3325703,15.277783
2.3329627,-1.0415766
2.333625,-10.635987
2.3354494,15.542902
2.3358392,-9.6627868
2.3389647,-0.14127187
2.3398486,-0.07033195
2.3446597,-0.69210435
2.3471212,-0.0560222
2.3507518,0.53783881
2.3647296,14.399212
2.3654005,-10.449982
2.3712931,-9.1840935
2.3725165,-0.72538592
2.3758037,-0.33157576
2.3767526,-0.29306676
2.3789138,-10.974883
2.3809413,15.075507
2.3813942,-9.9868006
2.3863178,-1.2061232
2.3871032,14.289625
2.3891186,-1.0858106
2.3957827,15.608306
2.3958952,14.741855
2.4011985,-0.46614309
2.4017609,0.88603584
2.4046809,0.34846837
2.4134087,-0.23261333
2.4147278,-0.54016399
2.417671,-10.41742
2.4295416,0.9908201
2.430913,16.022719
2.4359,14.115773
2.440933,15.571883
2.4432471,-11.059576
2.4435462,14.719625
2.4558313,-0.68422075
2.4601865,-0.91776728
2.4606744,-0.90186181
2.4646533,15.631739
2.4685961,-1.149936
2.469992,-0.44654142
2.4703622,15.7353
2.4704687,-9.4047227
2.4712091,15.734668
2.4729335,-9.9026361
2.4810835,14.172572
2.4865131,15.086167
2.4898899,0.10056977
2.4908188,15.645855
2.4930952,-1.1501581
2.4951055,-10.157926
2.4994644,-10.195048
2.4997099,0.3468581
2.500828,-0.80978155
2.5061232,-0.96114457
2.5149434,14.30919
2.5181901,14.725278
2.5230266,-1.0944075
2.5230289,0.67349032
2.5254029,-9.238933
2.5276215,-0.43597042
2.5301413,0.32849477
2.5338027,-10.534426
2.5392991,0.3689149
2.5399374,-10.682828
2.5403995,-9.2245887
2.5445299,-0.31131812
2.5456963,4.9439271E-3
2.5464254,-10.227926
2.5484252,14.885547
2.5521789,-10.116264
2.5530292,0.49399738
2.5576579,-0.54064919
2.5583478,-9.477816
2.559305,-10.145978
2.5641546,-0.69697635
2.5760487,0.20657836
2.6062198,14.289738
2.6066081,0.97215586
2.6069019,-11.037065
2.6204821,1.050361
2.6208418,-0.77001902
2.6257997,-9.7594172
2.631166,-0.04287537
2.6389536,14.573371
2.6397547,14.407332
2.6468235,14.399262
2.6497914,15.048609
2.6592988,-0.92469635
2.6599828,-0.90176108
2.6639604,-0.05284883
2.6642172,-0.22855725
2.6677781,15.083042
2.6783382,14.71116
2.6854644,-0.73661249
2.6866451,-10.049005
2.6897766,-0.12775178
2.6943838,-0.89241001
2.6962062,-11.16474
2.6962573,-0.14476272
2.6995626,14.850371
2.7042083,-0.73264129
2.7070764,-11.136919
2.7099425,-9.492098
2.7116993,-11.095106
2.7129505,-0.78715738
2.71648,-0.36845364
2.7171734,-0.67005857
2.7193381,-10.005085
2.7194199,15.590727
2.7202415,-11.172843
2.722476,-10.060701
2.7237866,-11.122854
2.7275021,13.781484
2.728776,15.072278
2.7311802,14.391816
2.7343852,-9.0194182
2.7345093,14.701865
2.7431286,-1.206377
2.7468086,-9.3884804
2.7506262,-9.6245183
2.7507626,0.30926083
2.7512953,14.900318
2.7520096,-9.482714
2.7523465,1.0044385
2.7553075,-0.16238308
2.7583508,-1.2351645
2.7631385,15.175458
2.7636877,-9.6511771
2.7650951,-10.037383
2.7670725,14.908961
2.7678845,-0.99195058
2.7701071,-0.74622128
2.7733499,0.79156651
2.7797365,0.4302093
2.7858418,14.239672
2.7874434,0.5739923
2.7874903,0.64621045
2.7911955,-9.9960462
2.7968992,0.25727756
2.7978287,-0.20346634
2.8021843,0.65141226
2.8036983,-10.022888
2.8047581,14.281599
2.8099048,-11.033054
2.8118346,-10.258426
2.8185564,-10.02411
2.8266205,-1.2429717
2.8326454,-9.6612633
2.8327576,14.338861
2.8371703,1.1823163
2.8423547,1.0117843
2.8432039,-10.720603
2.8458504,-1.0736992
2.846453,0.19010894
2.8496063,-11.20047
2.8601549,13.754579
2.8622807,15.891562
2.8699406,14.615702
2.8705279,-9.499476
2.8717665,-0.62431922
2.8736914,16.046022
2.8742394,-9.9612193
2.8768482,-1.1567767
2.8772208,-10.555142
2.8788928,-0.73157131
2.8800233,-10.043861
2.8805937,-1.2399592
2.892612,-10.980422
2.8947055,15.908667
2.9004166,-11.128898
2.9006305,13.805058
2.9070242,-0.49215639
2.9078689,14.40717
2.9121488,-10.591639
2.9143263,-0.47282394
2.9186673,-10.882019
2.9215678,-9.671259
2.9227558,-1.1604309
2.9299379,14.467006
2.932049,0.52288723
2.9367206,14.537133
2.9384235,-0.90852873
2.9435705,-9.9837385
2.9457431,14.806165
2.94837,-9.9180259
2.948435,-9.7707693
2.949847,0.83468281
2.9508359,-9.3528589
2.9514621,0.16108937
2.9560652,-0.03176027
2.9567143,-0.13229661
2.9648661,-0.82011365
2.9662275,-0.32646484
2.9694678,14.715957
2.9723369,14.87847
2.9745237,14.92335
2.9750804,-10.717998
2.97684,-10.902283
2.9781922,-0.13729303
2.9782441,0.20619307
2.9907791,0.79226807
2.9941209,-9.8038194
2.9974003,0.37091983
3.0125158,-1.007222
3.0156297,-10.358587
3.0163786,1.1052811
3.0165314,-10.092765
3.022215,-9.6516626
3.0253963,-0.41521028
3.0260914,16.026927
3.0265718,-11.137468
3.0286029,-10.459081
3.0307035,-11.201358
3.0359795,-0.244382
3.0392161,-9.302425
3.0477211,1.2690026
3.0484414,-10.928116
3.0516464,1.036792
3.0517253,-11.002899
3.0533278,0.49290445
3.0600691,-1.0075975
3.0601693,-0.70984812
3.0612316,15.257464
3.0617226,0.37633073
3.0635616,-0.98037893
3.0672497,15.018659
3.068066,-1.1690196
3.0743046,-0.10294555
3.0787286,-0.01336176
3.0832578,-9.7654659
3.0917866,16.242263
3.0984615,-9.674739
3.1020761,-0.07165354
3.1050167,0.39879996
3.1090908,14.764022
3.1117686,-0.80539622
3.1133287,-10.304233
3.1144282,15.101261
3.1188961,14.177739
3.1200117,15.555963
3.129992,0.12222437
3.1404387,-0.04843988
3.1436066,0.04978997
3.1478655,0.23171708
3.1481724,-0.80259358
3.1583782,-0.13442792
3.1585004,0.83040288
3.1586694,15.762384
3.1645127,15.115223
3.1666165,-9.2337751
3.1669489,-0.03620531
3.1691706,1.2194967
3.1726613,-1.053429
3.1739213,-0.46071973
3.1749442,-11.141051
3.1761791,0.67339149
3.1788537,1.0728908
3.1809608,15.123673
3.1815367,14.409569
3.182361,-0.02806551
3.1843593,-9.8850282
3.1849896,-10.096739
3.1852438,14.457401
3.1903786,0.66598529
3.1921663,0.79112146
3.196908,15.749335
3.1983154,0.52293279
3.1994508,1.2040136
3.2018727,-10.141302
3.2021109,0.75017707
3.2043692,13.916606
3.2053618,-10.04794
3.2087951,15.587336
3.209795,0.26343057
3.2144422,14.790383
3.2247087,-1.0138765
3.2262368,0.09634099
3.2303113,14.807345
3.2307126,-10.080866
3.2319399,0.05184514
3.2342391,-0.34741149
3.2363644,0.42169042
3.2382069,14.418818
3.2459516,15.105365
3.2479287,14.752487
3.2504119,16.036502
3.2517572,15.894959
3.2569473,-10.026053
3.2571558,-0.37479528
3.2616153,14.409688
3.2616306,-0.88710625
3.2654566,0.79693385
3.2694391,-10.453879
3.2698339,-10.206348
3.274972,14.578939
3.2771615,-0.13841074
3.2832999,-10.382571
3.2856852,14.840443
3.2868076,-1.0002706
3.2878785,14.918273
3.2879937,-10.387254
3.2915079,16.199606
3.2991002,14.894692
3.3008128,0.7429578
3.3021008,1.0409786
3.3073746,-0.02297638
3.3105544,-10.833955
3.3136815,0.04458239
3.315974,13.779033
3.3191167,0.01660415
3.3199041,-0.52282836
3.3222368,-9.8168266
3.3266826,3.2952033E-3
3.3278197,-1.0543365
3.3314478,14.182018
3.3335447,-10.803824
3.3335499,14.133377
3.3364641,-9.9226601
3.3368741,14.916575
3.3385445,14.964812
3.3407035,15.538146
3.3445006,0.09065551
3.3449927,-10.779273
3.3483905,14.949872
3.3513919,-8.8392907
3.3530739,14.2084
3.3547917,16.099426
3.3644753,-0.31555358
3.3690982,1.0390935
3.3707409,0.04127902
3.371218,0.67353286
3.3717606,-0.92516144
3.377051,0.12701265
3.377503,0.70129257
3.3814259,14.129387
3.3825115,-1.1470816
3.3839038,-0.40061816
3.3848091,-10.17822
3.3868985,-0.48351488
3.3909759,0.05883024
3.3966868,-8.9041904
3.3974203,-9.8558098
3.4065876,1.0217664
3.4109375,15.674462
3.4114015,-8.7726961
3.4119313,14.778628
3.412942,0.32358206
3.4153403,14.608612
3.4176558,14.754172
3.4215478,-0.84245594
