,flux_list,wavelength,z,ra,dec,objid,coordinate
110,"[array([5.498343 , 2.7919033, 5.6138225, ..., 5.152567 , 5.580886 ,
       4.496532 ], dtype=float32)]","[array([3823.8423, 3824.724 , 3825.604 , ..., 9185.439 , 9187.558 ,
       9189.672 ], dtype=float32)]",0.09206659,0.358805316234964,14.0014055393208,1237652942101741775,0h01m26.1149s +14d00m05.13s
111,"[array([ 2.288383 ,  0.6723983, -1.5000548, ..., 13.597353 , 14.847045 ,
       12.8496895], dtype=float32)]","[array([3808.0261, 3808.9043, 3809.7805, ..., 9208.736 , 9210.8545,
       9212.979 ], dtype=float32)]",0.09551325,0.363865802931628,14.190809423006,1237656494576959521,0h01m27.3278s +14d11m26.9088s
112,"[array([-0.06729753,  2.077266  ,  4.6369987 , ..., 10.599841  ,
       11.291664  ,  8.614531  ], dtype=float32)]","[array([3826.4841, 3827.3665, 3828.2468, ..., 9097.037 , 9099.135 ,
       9101.229 ], dtype=float32)]",0.09813292,0.37225595747293,14.7264679710146,1237656495113830623,0h01m29.3439s +14d43m35.3028s
113,"[array([0.27153927, 3.596167  , 4.981118  , ..., 5.1936965 , 8.300336  ,
       9.073753  ], dtype=float32)]","[array([3795.7703, 3796.6455, 3797.519 , ..., 9193.905 , 9196.0205,
       9198.141 ], dtype=float32)]",0.06066351,0.374778481892974,1.04783979654321,1237663278464827468,0h01m29.97s +1d02m52.499s
114,"[array([12.028686 , 12.612549 , 14.853984 , ..., 17.247353 , 16.09574  ,
       15.8122015], dtype=float32)]","[array([3795.7703, 3796.6455, 3797.519 , ..., 9193.905 , 9196.0205,
       9198.141 ], dtype=float32)]",0.08823861,0.377105747825681,0.658292272400845,1237657191979090133,0h01m30.5018s +0d39m29.8972s
115,"[array([10.941676, 12.795427, 14.649065, ..., 21.51633 , 21.732857,
       21.095413], dtype=float32)]","[array([3801.0188, 3801.8933, 3802.77  , ..., 9202.379 , 9204.495 ,
       9206.613 ], dtype=float32)]",0.04191076,0.380926671241468,14.407453593917,1237652942638612625,0h01m31.425s +14d24m26.8884s
116,"[array([18.562298 ,  5.7382755,  3.3578546, ...,  8.179985 , 10.215641 ,
       10.899179 ], dtype=float32)]","[array([3795.7703, 3796.6455, 3797.519 , ..., 9191.785 , 9193.905 ,
       9196.0205], dtype=float32)]",0.06117163,0.381784677088831,1.09741955497465,1237657192515961030,0h01m31.6253s +1d05m50.6537s
117,"[array([ 2.604515,  8.886686,  9.633487, ..., 35.593197, 36.15703 ,
       37.62393 ], dtype=float32)]","[array([3822.0815, 3822.963 , 3823.8423, ..., 9185.439 , 9187.558 ,
       9189.672 ], dtype=float32)]",0.09211311,0.384368434024736,14.1855298818821,1237656494576959649,0h01m32.2509s +14d11m07.9116s
118,"[array([147.87071 , 154.55812 , 101.58033 , ...,   9.122375,   8.324342,
         9.464685], dtype=float32)]","[array([3808.0261, 3808.9043, 3809.7805, ..., 9202.379 , 9204.495 ,
       9206.613 ], dtype=float32)]",0.02119148,0.391493133161816,15.0815733234609,1237656495650701475,0h01m33.9606s +15d04m53.6628s
119,"[array([24.959007, 21.52423 , 22.018223, ..., 67.310844, 65.83951 ,
       58.542843], dtype=float32)]","[array([3795.7703, 3796.6455, 3797.519 , ..., 9193.905 , 9196.0205,
       9198.141 ], dtype=float32)]",0.0620074,0.394271306727092,0.274418790816633,1237666408442560692,0h01m34.6205s +0d16m27.9815s
120,"[array([ 4.4222455,  6.6726813,  3.1061854, ..., 21.70495  , 19.351137 ,
       17.148088 ], dtype=float32)]","[array([3800.1426, 3801.0188, 3801.8933, ..., 9200.257 , 9202.379 ,
       9204.495 ], dtype=float32)]",0.09810758,0.398334597964777,14.6593826863217,1237656495113830638,0h01m35.6018s +14d39m33.768s
121,"[array([ 9.111649 ,  7.134514 ,  5.0049515, ..., 37.97575  , 34.598022 ,
       36.05958  ], dtype=float32)]","[array([3795.7703, 3796.6455, 3797.519 , ..., 9193.905 , 9196.0205,
       9198.141 ], dtype=float32)]",0.0610964,0.417544223951609,1.09200832392873,1237657192516026380,0h01m40.2129s +1d05m31.0769s
122,"[array([14.060101 ,  8.237195 , 11.493746 , ...,  5.8930497,  6.299538 ,
        7.1104674], dtype=float32)]","[array([3795.7703, 3796.6455, 3797.519 , ..., 9193.905 , 9196.0205,
       9198.141 ], dtype=float32)]",0.08486205,0.42190718816957,1.01724004603086,1237663278464827495,0h01m41.2675s +1d01m02.4492s
123,"[array([24.450743, 22.044306, 25.251085, ..., 33.998394, 33.507187,
       32.642834], dtype=float32)]","[array([3810.659 , 3811.5356, 3812.4126, ..., 9208.736 , 9210.8545,
       9212.979 ], dtype=float32)]",7.965788e-05,0.431335511790166,13.8697967212987,1237656494040088782,0h01m43.5206s +13d52m11.2944s
124,"[array([ 9.029319, 15.477401, 12.464874, ..., 27.189333, 28.917532,
       27.02587 ], dtype=float32)]","[array([3816.806 , 3817.684 , 3818.5623, ..., 9210.8545, 9212.979 ,
       9215.098 ], dtype=float32)]",0.04593726,0.435061384563085,15.204203188037,1237652943712354560,0h01m44.4155s +15d12m15.1848s
125,"[array([12.0954685,  5.232091 , 10.275999 , ..., 37.179783 , 39.8899   ,
       39.89881  ], dtype=float32)]","[array([3829.1296, 3830.0105, 3830.8938, ..., 9187.558 , 9189.672 ,
       9191.785 ], dtype=float32)]",0.0913173,0.435699175439481,14.8976472187299,1237652943175483508,0h01m44.5695s +14d53m51.5796s
126,"[array([ 4.5037804,  1.3908178,  8.510489 , ..., 12.261555 , 11.654216 ,
       12.157191 ], dtype=float32)]","[array([3810.659 , 3811.5356, 3812.4126, ..., 9200.257 , 9202.379 ,
       9204.495 ], dtype=float32)]",0.06361007,0.439268829427419,15.9678625600894,1237656496724443357,0h01m45.4229s +15d58m04.2528s
127,"[array([2.170974 , 4.8664255, 7.5602627, ..., 8.599497 , 5.6108623,
       9.606957 ], dtype=float32)]","[array([3793.15  , 3794.0225, 3794.8972, ..., 9193.905 , 9196.0205,
       9198.141 ], dtype=float32)]",0.0423171,0.443430922563493,0.750468941216377,1237657191979155550,0h01m46.4267s +0d45m01.6348s
128,"[array([ 6.208283 ,  8.47947  , 11.905972 , ...,  6.774757 ,  8.948894 ,
        7.9829044], dtype=float32)]","[array([3822.0815, 3822.963 , 3823.8423, ..., 9187.558 , 9189.672 ,
       9191.785 ], dtype=float32)]",0.09223466,0.446162182843182,14.3477547780947,1237652942638612688,0h01m47.0805s +14d20m51.9432s
129,"[array([ 5.6184773, 10.74873  , 15.809229 , ..., 19.513588 , 19.007917 ,
       18.588385 ], dtype=float32)]","[array([3800.1426, 3801.0188, 3801.8933, ..., 9200.257 , 9202.379 ,
       9204.495 ], dtype=float32)]",0.03995848,0.456354012333065,14.4396893658844,1237652942638612710,0h01m49.5254s +14d26m22.938s
130,"[array([14.7721195, 25.56756  , 18.603807 , ..., 62.753    , 63.71619  ,
       58.58133  ], dtype=float32)]","[array([3794.8972, 3795.7703, 3796.6455, ..., 9193.905 , 9196.0205,
       9198.141 ], dtype=float32)]",0.06106723,0.456527579307249,0.566925986156853,1237663277927956655,0h01m49.5749s +0d34m01.2664s
131,"[array([ 9.459681,  7.971315, 10.432649, ..., 40.631298, 45.35826 ,
       41.27225 ], dtype=float32)]","[array([3796.6455, 3797.519 , 3798.3948, ..., 9191.785 , 9193.905 ,
       9196.0205], dtype=float32)]",0.08615461,0.459657674382925,1.0319948296718,1237663278464827514,0h01m50.3366s +1d01m55.4174s
132,"[array([6.352796 , 5.4967165, 1.1962811, ..., 8.850128 , 8.8178005,
       7.800967 ], dtype=float32)]","[array([3806.2727, 3807.1504, 3808.0261, ..., 9202.379 , 9204.495 ,
       9206.613 ], dtype=float32)]",0.09440286,0.461951592240723,15.2550257115748,1237652943712354569,0h01m50.8692s +15d15m18.1224s
133,"[array([ 7.0839067,  3.5828214,  5.3286686, ...,  9.08233  , 10.014344 ,
        9.878184 ], dtype=float32)]","[array([3809.7805, 3810.659 , 3811.5356, ..., 9200.257 , 9202.379 ,
       9204.495 ], dtype=float32)]",0.04254651,0.473766008604684,16.1376338631502,1237652944786161825,0h01m53.7003s +16d08m15.234s
